[kim2000@mox2 current]$ ./iozone -a
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.482 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Thu Oct 25 14:21:04 2018

	Auto Mode
	Command line used: ./iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4   172982   477808   901377   955947   647135   441646   507625    496362    754443   524487   551422   789967   913649
              64       8   184516   842003  1562436  1780008  1336792   789967   942521    852702   1336792   889431   901377  1421755  1648808
              64      16   227718  1255511  2278628  2662899  1991276   877797  1033216   1279447   1947927  1183548  1452528  2006158  2444640
              64      32   206997  1648808  3022727  2278628  2772930  1421755  1562436   1690338   1562436  1421755  2278628  2278628  3406295
              64      64   224668  1526887  4274062  2662899  3541098  1492919  1492919   1279447   2801873  1336792  1452528  2133730  3541098
             128       4   238312   493989   907174   940549   757430   477301   663782    472262    739689   509943   516318   853794   914904
             128       8   312169   785122  1579934  1684006  1319723   795593  1121270    935631   1421023   908709   843068  1455701  1642783
             128      16   350711  1172704  2286447  2558895  2027414  1172704  1622919   1406136   2211113  1346196  1220700  2066432  2409592
             128      32   364522  1663139  3277486  3759450  2905056  1622919  1878447   1749872   3053774  1827299  1663139  2784517  3359523
             128      64   401307  1827299  4267461  5122535  3867787  1543594  2175277   2066432   3895854  1332828  2969325  3297617  4135958
             128     128   426831  2132084  4759253  5545860  4104338  2326073  2166499   2727923   3560017  2326073  2660335  3560017  4407601
             256       4   325691   521283   886067   898674   742146   476624   697776    533455    721210   530031   542347   870268   853662
             256       8   437582   850956  1579483  1629830  1243036   859127  1112909    963164   1274008   850282   901693  1481420  1543163
             256      16   515032  1266495  2371308  2509882  2097948  1293967  1600674   1471270   2247235  1347557  1292410  2205688  2392442
             256      32   654399  1619994  2911402  3605511  3123106  1842366  2371308   2102055   3285566  1855098  1763685  3052087  3410808
             256      64   697776  2165650  4332998  4840911  4009406  2285501  2210228   2726577   4197489  2366082  2247235  3770085  4477549
             256     128   690151  2170027  4929815  5569035  4652146  2665657  3159869   3052087   4404088  1696795  3326279  3994490  3823789
             256     256   761623  2665657  5810112  6554972  5971678  3410808  4132864   3285566   5117791  3326279  3368013  5320671  6107548
             512       4   610982   924123   831132   854615   720195   603089   674714    648824    705062   671969   628322   806171   844865
             512       8   572081  1158418  1556366  1463057  1323315  1024169  1251589   1204552   1279935  1087440  1013534  1510391  1556366
             512      16   459570  1683237  2081286  2381315  2073249  1541840  1902438   1759070   1910902  1635797  1429934  2263354  2198475
             512      32   438727  2237414  3409755  3510074  3064306  1977778  2681653   2655129   3388236  2132967  1560891  3220553  3409755
             512      64   471476  2668325  4411377  4660280  4131319  2402629  2875558   3409755   4411377  2474613  2357784  4061007  4457157
             512     128   446758  2926501  4701087  5115422  3284589  3122224  3556580   3046915   4660280  2560168  2860238  4340054  4742616
             512     256   527792  2991733  4660280  4871723  3634839  3158966  3684733   3437042   4375425  1797349  3279573  3768799  4742616
             512     512   468902  2875558  5019764  5227492  4927617  3993047  3934520   2845081   4532414  3346002  3325278  4610256  5019764
            1024       4   339072   533615   693765   790707   667977   474277   591201    660174    669748   520551   516917   685351   793775
            1024       8   472555   824558  1128826  1427940  1208894   750238   979064   1206178   1194770   790125   788240  1103592  1400926
            1024      16   620587  1103308  1577984  2270300  1935711  1082454  1404591   1854631   1903117  1096268  1044799  1572783  2188177
            1024      32   438360  1427940  2260740  3092561  3040026  1323236  2031864   2753527   2789291  1296083  1326505  2236023  3046495
            1024      64  1183575  1568189  2837198  4531485  4146499  1532928  2414523   3425544   4392454  1575091  1607514  2632033  3905205
